,,,,selected actions to define load quantification parameters and muscle groups to apply loads,,,movement characterization to select action,,,,quantity of stabilization intensity,,,quantity of power intensity,,,,,,,,,,,,,,,
fathom_name,soflete_name,description,,primary_actions,secondary_actions,,training_type,cardio_action,external_weight,,surface_stability,external weight implement,,explosiveness,,youtube_link,equipment,body_position,metrics,tags,sections,strength,endurance,power,number of training types assigned,,id,weight_label,Does not have weight
,Prone Barbell Row,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/Pv3dLOFFL30,barbells,,Reps,"['equipment: barbells', 'equipment: rower', 'body position: prone']",strength work; accessory work; suns out guns out; strength 1; strength 3; strength 4; strength 2; powerlifting 2; accessory work 1,1,0,0,1,597,586fef72b06dc50011d08120,Weight (Actual),
,Prone Double Dumbbell Row,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=nAJWm2cjbuc,dumbbells,,Reps,"['equipment: dumbbells', 'equipment: rower', 'body position: prone']",accessory work; suns out guns out; strength 1; sunâ€™s out guns out (accessory work); strength 3; strength 4; strength 2; strength; accessory work 1,1,0,0,1,974,59caf4813d98d0000fd82286,Weight (Actual),
,Prone Dual Dumbbell Rows,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=BcQbmFkcrRQ,dumbbells,,Reps,"['equipment: dumbbells', 'body position: prone']",accessory work 1; accessory work; strength 2; strength 3,1,0,0,1,1684,5c6a269013b7570012258f52,Weight (Actual),
,Prone Glute Raise,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=ugvT9pfhMBY,,prone,Reps,['body position: prone'],accessory work,0,0,0,0,1672,5c5fbf8af9f7a8000f79b67b,#N/A,
,Prone Infinty Hovers,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=jdI1zX-6xO0,,prone,Reps; Minutes,['body position: prone'],recovery protocol,0,0,0,0,1424,5bc657e8e8be83000ffe6342,#N/A,
,"Prone Is, Ys, and Ts",,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/BK86P9qPz_A,,prone,,['body position: prone'],,0,0,0,0,987,59cc516d3d98d0000fd84676,#N/A,
,Prone One Arm Lateral Rasie w/ Rear Delt Swing,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/-smYiuO4nwk,,prone,Reps,"['body position: prone', 'movement direction - plane: frontal', 'movement direction - axis: lateral']",strength 2,1,0,0,1,1502,5bec3e3ccb07e9000fc95e55,Weight (Actual),
,Prone Opposite Arm Leg Lift,"lieing prone on floor, lift and hold opposite arm and leg",,,,,strength_endurance,,,,,,,,,https://youtu.be/sDD9f6JbmZw,,,Reps,['body position: prone'],accessory work 2; accessory work 4,0,0,0,0,1900,5d25028efce11500125e97f3,Weight (Actual),
,Prone Overhead Raises,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=B33C_XMRF-g,,prone,,['body position: prone'],,0,0,0,0,1227,5ac561e916557e000f3dafc8,#N/A,
,Prone Press,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=B33C_XMRF-g,,prone,Reps,['body position: prone'],mobility work,0,0,0,0,1228,5ac561f516557e000f3dafc9,#N/A,
,Prone Reverse DB Flys,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=lXuWPjI9dTw,dumbbells,prone,Reps,"['equipment: dumbbells', 'body position: prone']",accessory work 2; strength 3,1,0,0,1,1362,5b81884b06ca84000f0b5b92,Weight (Actual),
,Prone T-Spine Extension,,,,,,flexibility,,,,,,,,,https://youtu.be/06W2xy-Ds-U,,prone,Reps,"['body position: prone', 'movement direction - plane: sagittal']",accessory work 2,0,0,0,0,1870,5d07ac85fce115001257c43f,#N/A,
,Prone T-Spine Rotation,,,,,,flexibility,,,,,,,,,https://youtu.be/YgHpAf3uMEk,,prone,Reps; Minutes,"['body position: prone', 'movement direction - plane: transverse', 'movement direction - axis: rotational']",recovery protocol; warm up/movement prep; warm-up/movement prep,0,0,0,0,1402,5ba6bd30cbb461000f8f94c1,#N/A,
,Prowler Push,heavy sled in front. walking push it forward,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/-sCBIaDGSC4?t=58,sled,,Seconds; Meters; Feet; Reps; Time,[],recovery; conditioning 3; strength; stamina; stamina 3,1,1,0,2,376,57e2fd3b4c6a031dc777e9b0,Weight (% Bodyweight),
,Psoas March w/Band,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=9hhR5Z8aflk,,,Reps; Minutes,[],warm-up/movement prep; strength work; accessory work; warm-up/movement prep (run focus 6); warm-up; stamina 1; mobility work; warm-up / movement prep; stamina,1,1,0,2,1087,5a39959c8347fc000f1d0de5,#N/A,
,Psoas March w/Glute Bridge,,,,,,strength_endurance,,,,,,,,,https://youtu.be/Ed4kj0JPt8s,,bridge,Reps,[],warm-up/movement prep; accessory work; strength 1; warm-up; mobility work 1; warm up/movement prep; mobility work; warm-up / movement prep,1,0,0,1,1014,59d3f27eb0b986000f18aa15,#N/A,
,Psoas March with Band,,,,,,,,,,,,,,,https://youtu.be/O80fcsgtd88,,,Reps; Time; Seconds,[],warm-up/movement prep; strength work; accessory work; strength 1; mobility; warm-up; mobility work 1; warm up/movement prep; mobility work; warm-up / movement prep; stamina 2,1,1,0,2,988,59cc518a3d98d0000fd84677,#N/A,
,Psoas Smash,,,,,,,,,,,,,,,https://youtu.be/ex_1J878EAw,,,Minutes; Time,[],recovery protocol; cool down; mobility work; mobility,0,0,0,0,989,59cc51ff514bb0000fa69ad5,#N/A,
,Pull Only (Swim Buoy),,,,,,,,,,,,,,,https://youtu.be/kOnPPFlKiPs?t=8,,,Yards,['equipment: swimming'],warm-up/movement prep; endurance prep; stroke refinement; endurance - swim; edurance; endurance,0,0,0,0,1572,5c1d366d9eb3da000f11e19e,#N/A,
,Pull-Ups,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/PD45iwaEyqE?list=PL4T3VJwPWwuEnPSfKLKNVPGX02-ybszb3,,,Reps; Minutes; Time; Seconds,['basic_exercise: pull-ups'],callisthenics; buds pst; pull-up test; strength 1; sunâ€™s out guns out (accessory work); calisthenics/strength; pull-ups; double pst; stamina/strength 3; o course simulation; run/pt; weapons development 2; weight circuit; mobility; mix modal; strength and stamina; mobility work; mixed model; test 2; pt pyramid; stamina 3; strength work; warm-up/movement prep; cool down; accessory work 2; soflete rx'd; soflete performance; stamina 4; weapons development; conditioning 2; stamina/strength 1; down regulation breathing; mixed modal; trunk work; upper body pt/strength; pst prep; stamina 1; soflete fitness; gymnastics; bonus material; strength; reverse pyramid; stamina/strength 2; bonus work (optional); stamina; calisthenics; accessory work; recovery; suns out guns out; bud/s pst; pyramid warm-up; strength 3; soflete rx'd/performance; open 18.5 prep; strength (no weight vest); strength 4; modified murph; weapon development; superset; body weight; shoudler press; push press; sun's out guns out (accessory work); correctives; conditioning; movement flow; soflete performance/fitness; warm-up; calisthenics 1; strength 2; pull-up re-test; soflete stamina; death by pull-ups; accessory work 1; assistance work; stamina 2,1,1,0,2,494,582dc76cdcab171000333255,Weight (Actual),
,Puppy Pose,,,,,,,,,,,,,,,https://youtu.be/VM87l97X7gY,,,Seconds; Minutes,[],recovery; mobility; recovery portocol; recovery protocol; recovery work; recovery protocol (long),0,0,0,0,1396,5ba26d222d86de000f2061e1,#N/A,
,Push Jerk,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/TuDo9gbBa4E?list=PL4T3VJwPWwuEnPSfKLKNVPGX02-ybszb3,,,Reps,[],strength 1; weightlifting; strength 2; assistance work; stength; giantset; strength; weightlifting 2; bonus work; stamina,1,1,0,2,517,58459440dc2ce90011f93d7f,Weight (3RM),
,Push Press,,,,,,power_action_olympic_lift,,,,,,,,,https://youtu.be/3_MMsRUfhoA?list=PL4T3VJwPWwuEnPSfKLKNVPGX02-ybszb3,,,Reps; Minutes; Time; Seconds,['olympic_lift: push press'],barbell bonus work; strength 1; prehab/dynamic warm up; sunâ€™s out guns out (accessory work); run/pt; weight circuit; assisted work; strength 2b; bonus work; strength 1b; movement primer; warm-up/movement prep; stamina 3; soflete rx'd; soflete performance; stamina 4; upper body pt/strength; soflete fitness; stamina 1; strength; stamina; weightlifting; accessory work; suns out guns out; strength 3; superset; shoudler press; sun's out guns out (accessory work); push press; weightlifting 2; warm-up; strength 2; strength/mobility; assistance work; run; stamina 2,1,1,0,2,10,57e2fd3a4c6a031dc777e827,Weight (1RM),
,Push Up Starts,,,,,,strength_integrated_resistance,,,,,,,,,,,,,['basic_exercise: push-ups'],,0,0,0,0,377,57e2fd3b4c6a031dc777e9b1,#N/A,
,Push-Up Start Sprint,,,,,,power_drills_plyometrics,,,,stable,,,,,https://youtu.be/3JaQcigqO9I,,,Meters,"['basic_exercise: push-ups', 'basic_functional_movement: sprint']",sprint work; plyometrics,0,0,1,1,1420,5bbe196b2bb1c6000f4c750b,Weight (Actual),
,Push-ups,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/u7o_3nvNKb8?list=PL4T3VJwPWwuEnPSfKLKNVPGX02-ybszb3,,,Reps; Minutes; Time; Seconds,['basic_exercise: push-ups'],callisthenics; strength 1; prehab/dynamic warm up; sunâ€™s out guns out (accessory work); double pst; run/pt; test 1; mobility; weight circuit; weight vest pyramid; gun work - pistol: outside the waistband; push-up pyramid; assisted work; mobility work; bonus work; pt pyramid; stamina 3; warm-up/movement prep; accessory work 2; cool down; soflete rx'd; prehab/dynamic warm-up; prehab / dynamic warm-up; soflete performance; stamina 4; weapons development; down regulation breathing; pyramid push-ups; bonus material; mixed modal; pst prep; stamina 1; heart rate elevation; weight vest workout; giantset; strength; accessory; reverse pyramid; soflete fitness; gymnastics; bonus work (optional); stamina; calisthenics; accessory work; suns out guns out; devils quarter mile; bud/s pst; pyramid warm-up; plyometrics; strength 3; strongman; cyclic work; soflete rx'd/performance; modified murph; breathing / mobility work; strength 4; superset; dynamic warm-up; body weight; conditioning; prehab / dynamic warm-up (pillar wo.); warm-up; calisthenics 1; strength 2; soflete stamina; gun work - pistol: concealed carry; calistenics 1; warm-up / movement prep; gun work - carbine; buds pst; suns out guns out 2; stamina 2,1,1,1,3,80,57e2fd3a4c6a031dc777e870,Weight (Actual),
,PVC Around the World,,,,,,,,,,,,,,,https://youtu.be/bHHT3RMQ0pI,,,,[],,0,0,0,0,1113,5a591d61f2790d000f136a4d,#N/A,
,PVC Lift Off,,,,,,,,,,,,,,,https://youtu.be/jyCKI6Nuukc,,,Reps,[],neuro adaptation,0,0,0,0,1077,5a1e59c34e7ddd000fd5da66,#N/A,
,PVC Pass-Through,,,,,,,,,,,,,,,https://youtu.be/DnMX-cd8l9E,,,Reps,[],movement flow; warm-up; movemental flow,0,0,0,0,950,59c959e7514bb0000fa64a1a,#N/A,
,PVC Rack Stretch on Box,,,,,,flexibility,,,,,,,,,https://youtube.com/watch?v=-4VQdIg_RzY,,,Time,[],warm-up/movement prep; warm-up / movement prep; warm-up,0,0,0,0,724,58aa59e30609ec000f75e0d2,#N/A,
,QL Release,,,,,,,,,,,,,,,https://youtu.be/3jW0iODTzFE,,,Time,[],mobility work; cool down; recovery protocol,0,0,0,0,1081,5a356f471a1517000f3e0d07,#N/A,
,QL Smash,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=GWGh0mnkFo4,,,Time,[],mobility work; mobility,0,0,0,0,1114,5a5a3dd2bedd9d000fc0316a,#N/A,
,Quadruped Crawl,,,,,,strength_endurance,,,,,,,,,https://youtu.be/jtwrxVv0oOM?list=PL4T3VJwPWwuFotqGyAGlfoYdkoTQzbrZe,,quadruped,Meters; Feet,[],warm-up/movement prep; movement flow; warm-up /movement prep; warm-up; movemental flow; warm; warm-up / movement prep,0,0,0,0,629,5880fd7b9f4d4d000f6e0654,#N/A,
,Quadruped Extension-Rotation w/ Internal Rotation,,,,,,strength_endurance,,,,,,,,,https://www.youtube.com/watch?v=BuKSUIpiq6k,,quadruped,Reps,"['movement direction - plane: sagittal', 'movement direction - plane: transverse', 'movement direction - axis: rotational']",warm-up/movement prep; warm-up / movement prep,0,0,0,0,947,59c3090c546031000fe87bc3,#N/A,
,Quadruped Hip Circle,,,,,,strength_endurance,,,,,,,,,https://youtu.be/R_EhseMmOhk?t=8,,quadruped,Reps,[],accessory work; accessory work 1,0,0,0,0,1560,5c1d33009eb3da000f11e084,Weight (Actual),
,Quadruped Hip Circles,,,,,,strength_endurance,,,,,,,,,https://youtu.be/daqNxkGRK2s,,,Reps; Minutes,[],warm-up/movement prep; strength work; accessory work; breathing work; warm-up; recovery protocol 4; recovery protocol; neuro adaptation; run warm up; warm-up / movement prep; accessory work 1,1,0,0,1,794,5902880cbbd5d5000f5635b9,#N/A,
,Quadruped Hip Extension,,,,,,strength_endurance,,,,,,,,,https://www.youtube.com/watch?v=CBaDRYtLHtM,,quadruped,Reps,['movement direction - plane: sagittal'],accessory work 2; warm-up / movement prep,0,0,0,0,842,594bfe54b2347e000f009957,#N/A,
,Quadruped Leg Whip,,,,,,strength_endurance,,,,,,,,,https://youtube.com/watch?v=IO99TpJwS9M,,quadruped,Reps,[],warm-up/movement prep; accessory work; warm-up / movement prep,0,0,0,0,722,58aa34569354df000f845ea0,#N/A,
,Quadruped Opposite Knee to Elbow,,,,,,strength_endurance,,,,,,,,,https://www.youtube.com/watch?v=m9D84mwbkvY,,quadruped,Reps,[],warm-up/movement prep; warm-up / movement prep; recovery protocol; stamina,0,1,0,1,847,594d68012f01a7000f72ce06,#N/A,
,Quadruped Position,,,,,,flexibility,,,,,,,,,https://youtu.be/NuvzhUSuZm0?list=PL4T3VJwPWwuFotqGyAGlfoYdkoTQzbrZe,,,Reps; Minutes,[],recovery protocol; down regulation breathing,0,0,0,0,628,5880fd4c9f4d4d000f6e064d,#N/A,
,Quadruped Rock Back to Bottom of Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/NsA3631qLCg,,,Reps,['basic_functional_movement: squat'],new blank section #2; warm-up/movement prep; movement prep; warm-up; mobility work 2; warm up/movement prep; mobility work; warm-up / movement prep,0,0,0,0,946,59c2d3bb546031000fe87318,Weight (Actual),
,Quadruped Rock Back to Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/rXgRAfFFExU,,,Reps,['basic_functional_movement: squat'],warm-up/movement prep; accessory work; cool down; mobility; warm-up; weapons development; warmup/movement prep; mobility work 2; neo adaptation; mobility work; neuro adaptation; warm up/movement prep; mobility work 3; warm-up / movement prep; stamina 2,0,1,0,1,990,59cc551f514bb0000fa69ad6,Weight (Actual),
,Quadruped Rock Back w/ Hip Internal Rotation,,,,,,strength_endurance,,,,,,,,,https://www.youtube.com/watch?v=QYlg5cMFAFE,,quadruped,,"['movement direction - plane: transverse', 'movement direction - axis: rotational']",,0,0,0,0,1061,5a06456321a0de000fc96f04,#N/A,
,Quadruped Rock Back w/ Shoulder Internal/External Rotation,,,,,,strength_endurance,,,,,,,,,https://www.youtube.com/watch?v=Ai7AYA1PuVk,,quadruped,Reps,"['movement direction - plane: transverse', 'movement direction - axis: rotational']",mobility work; warm-up / movement prep; warm-up/movement prep,0,0,0,0,1062,5a06458721a0de000fc96f05,#N/A,
,Quadruped Rockback,,,,,,strength_endurance,,,,,,,,,https://www.youtube.com/watch?v=_tzPbu1kXLA,,quadruped,Seconds; Reps,[],warm-up/movement prep; mobility; recovery protocol; mobility work; warm up/movement prep; mobility work 3; warm-up / movement prep,0,0,0,0,853,59569e346bdcf5000f7562c2,#N/A,
,Quadruped Straight Leg Hip Extension,,,,,,strength_endurance,,,,,,,,,https://youtu.be/y5ES9E6wV6E,,quadruped,Reps,['movement direction - plane: sagittal'],accessory work 2,0,0,0,0,1871,5d07b347fce115001257c713,#N/A,
,Quadruped T-Spine Rotation,,,,,,strength_endurance,,,,,,,,,https://youtu.be/z2zv526I7M8,,quadruped,Seconds; Reps,"['movement direction - plane: transverse', 'movement direction - axis: rotational']",warm-up/movement prep; accessory work 1; endurance prep; sports specific day warm-up; warm-up; bike skill development; sports specific day warm up; recovery protocol; sports specific warm-up; warm-up / movement prep; brick session; ssp day warm-up; skill development; stamina; endurance,0,1,0,1,1608,5c37a9bd7e847e000f08db21,#N/A,
,Quadruped Thoracic Spine Rotation,,,,,,strength_endurance,,,,,,,,,https://youtu.be/5aDHG280mXY,,quadruped,Reps,"['movement direction - plane: transverse', 'movement direction - axis: rotational']",mobility; sports specific day warm-up; sports specific warm-up; neuro adaptation; mobility work; endurance; warm-up/movement prep; accessory work 2; cool down; bike skill development; sports specific day warm up; ssp day warm-up; endurance prep; mobility work 1; mobility work 3; brick session; warm-up; warm-up / movement prep (iapetus 2); neo adaptation; warm-up / movement prep; skill development,0,0,0,0,991,59cc5550514bb0000fa69ad7,#N/A,
,Quarter Squat Jump,,,,,,power_action_plyometrics,,,,,,,,,https://youtu.be/eLiFLtpL5yw,,,Reps,"['basic_functional_movement: jump', 'basic_functional_movement: squat']",plyometrics; power work; neuro adaptation; mobility work; stamina,0,1,1,2,548,585886d5cebd14001149260a,Weight (1RM),
,Quick Feet Low Box,,,,,,,,,,,,,,,,,,,[],,0,0,0,0,378,57e2fd3b4c6a031dc777e9b2,#N/A,
,Quick Feet: Over Over Back Back,,,,,,,,,,,,,,,,,,,[],,0,0,0,0,379,57e2fd3b4c6a031dc777e9b3,#N/A,
,Rack Pulls,,,,,,,,,,,,,,,https://youtube.com/watch?v=C_vzh4MxVeM,,,Reps,[],strength 1; strength 3; strength 2; strength; powerlifting 1,1,0,0,1,31,57e2fd3a4c6a031dc777e83c,Weight (3RM),
,Rack Pulls,,,,,,,,,,,,,,,https://youtu.be/4KNAGr7JeyE,,,Reps,[],strength 1,1,0,0,1,1598,5c2550b92fa17a000f56767b,Weight (Actual),
,Rag Doll Pose,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=BAwqzY_CoiE,,,Reps; Minutes; Time; Seconds,[],mobility; breathing work; warm-up; movement/breathing work; down regulation breathing; breathing / mobility work; recovery protocol; new blank section #6; movement / breathing work; breathing / movement work; breathing / mobility work / movement,0,0,0,0,1115,5a5a3defbedd9d000fc0316b,#N/A,
,Ragdoll Pose,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=7L7bS5jGuVI,,,Reps; Minutes,[],recovery; cool down; mobility; warm-up; recovery portocol; recovery protocol; recovery work; recovery protocol (long),0,0,0,0,1271,5ae9dee11d38c4000fea03b1,#N/A,
,Rear Foot Elevated Dummbell Lunge,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/34gIWLoR_wo?t=1,,,Reps,"['equipment: dumbbells', 'basic_functional_movement: lunge']",strength 1,1,0,0,1,1602,5c25541b9eb3da000f131ee9,Weight (Actual),
,Rear Foot Elevated Jump Split Squats,,,,,,power_action_plyometrics,,,,,,,,,https://youtu.be/x1t-yfh8k0Y,,,Reps,"['basic_functional_movement: jump', 'basic_functional_movement: squat']",accessory work; accessory work 1; strength 1,1,0,0,1,1837,5cf57b2dfce115001253aa6c,Weight (% Bodyweight),
,Rear Foot Elevated Kettlebell Deadlift,,,,,,,,,,,,,,,https://youtu.be/5P-g8R1RT9M,kettlebells,,Reps,"['olympic_lift: deadlift', 'equipment: kettlebells']",accessory work 2,0,0,0,0,1845,5cf9a243fce115001254cd20,Weight (Actual),
,Rear Foot Elevated Overhead Split Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/9hhg4t3DXjY,,,Reps,['basic_functional_movement: squat'],strength 1,1,0,0,1,1543,5c0f59874f9813000fe52a00,Weight (Actual),
,Rear Foot Elevated Romanian Deadlift,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/qN_Ivx1E4SA,,,Reps,"['olympic_lift: deadlift', 'olympic_lift: romanian deadlift']",accessory work; accessory work 1; strength 1; strength 2,1,0,0,1,1728,5c882a7525e0a600129c5227,Weight (Actual),
,Rear Foot Elevated Split Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://youtube.com/watch?v=e7FGB8VVagg,,,Reps,['basic_functional_movement: squat'],warm-up/movement prep; accessory work; strength work; powerlifting; accessory work 2; strength 1; strength 3; strength 2; stamina 1; warm-up / movement prep; accessory work 1,1,1,0,2,715,58aa0f208d0ef9000f8fa6a9,Weight (Actual),
,Rear Foot Elevated Split Squat Jump,,,,,,power_action_plyometrics,,,,,,,,,https://youtu.be/x1t-yfh8k0Y,,,Reps,"['basic_functional_movement: jump', 'basic_functional_movement: squat']",accessory work; strength 2; plyometrics,1,0,1,2,1824,5ce4f2a3cc3ad8000f2a11fe,Weight (Actual),
,Reclined Twist Pose,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=mKC3IeldPOc,,,Seconds; Minutes,[],recovery protocol; mobility (long); recovery day; mobility,0,0,0,0,809,590ccf9263f016000f391f10,#N/A,
,Reclining Bound Angle,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=Ay_s_a7L9T4,,,Minutes,[],recovery; mobility; warm-up; recovery portocol; recovery protocol; recovery work; recovery protocol (long),0,0,0,0,1356,5b804973b42825000f379e24,#N/A,
,Renegade Row,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=WPLAYOFltzE,,,Reps; Seconds,['equipment: rower'],conditioning; accessory work; stamina 3; suns out guns out; soflete rx'd; strength 1; soflete performance; suns out guns out 1; warm-up; mix modal; solete fitness; strength 2; stamina 1; assisted work; strength; mobility work; stamina; stamina 2,1,1,0,2,200,57e2fd3a4c6a031dc777e8f4,Weight (Actual),
,Resistance Skips,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=69bOL65ev5c,,,Seconds,[],warm-up/movement prep; prehab/dynamic warm up,0,0,0,0,674,588a13c165dcf3000f912393,#N/A,
